index,value,type
1,0.35,history
2,0.4,history
3,0.45,history
4,0.4,history
5,0.35,history
6,0.4,history
7,0.35,history
8,0.35,history
9,0.35,history
10,0.35,history
11,0.3,history
12,0.25,history
13,0.25,history
14,0.2,history
15,0.1,history
16,0.2,history
17,0.2,history
18,0.2,history
19,0.15,history
20,0.15,history
21,0.2,history
22,0.15,history
23,0.1,history
24,0.1,history
25,0.15,history
26,0.05,history
27,0.1,history
28,0.1,history
29,0.0,history
30,0.0,history
31,0.05,history
32,0.1,history
33,0.1,history
34,0.15,history
35,0.2,history
36,0.15,history
37,0.15,history
38,0.1,history
39,0.15,history
40,0.15,history
41,0.15,history
42,0.2,history
43,0.25,history
44,0.25,history
45,0.2,history
46,0.2,history
47,0.15,history
48,0.15,history
49,0.25,history
50,0.25,history
51,0.25,history
52,0.25,history
53,0.3,history
54,0.3,history
55,0.3,history
56,0.25,history
57,0.25,history
58,0.3,history
59,0.2,history
60,0.25,history
61,0.3,history
62,0.25,history
63,0.25,history
64,0.2,history
65,0.15,history
66,0.2,history
67,0.2,history
68,0.15,history
69,0.1,history
70,0.1,history
71,0.1,history
72,0.05,history
73,0.0,history
74,0.0,history
75,0.0,history
76,0.1,history
77,0.05,history
78,0.0,history
79,0.05,history
80,-0.05,history
81,-0.1,history
82,-0.05,history
83,0.0,history
84,0.1,history
85,0.15,history
86,0.15,history
87,0.15,history
88,0.2,history
89,0.2,history
90,0.25,history
91,0.2,history
92,0.25,history
93,0.3,history
94,0.35,history
95,0.35,history
96,0.3,history
97,0.35,history
98,0.35,history
99,0.35,history
100,0.4,history
101,0.45,history
102,0.4,history
103,0.3,history
104,0.25,history
105,0.25,history
106,0.25,history
107,0.3,history
108,0.3,history
109,0.3,history
110,0.25,history
111,0.3,history
112,0.25,history
113,0.2,history
114,0.2,history
115,0.2,history
116,0.25,history
117,0.2,history
118,0.25,history
119,0.3,history
120,0.3,history
121,0.3,history
122,0.3,history
123,0.4,history
124,0.45,history
125,0.45,history
126,0.4,history
127,0.35,history
128,0.4,history
129,0.4,history
130,0.4,history
131,0.35,history
132,0.35,history
133,0.4,history
134,0.35,history
135,0.35,history
136,0.35,history
137,0.35,history
138,0.3,history
139,0.25,history
140,0.25,history
141,0.15,history
142,0.15,history
143,0.1,history
144,0.05,history
145,0.05,history
146,0.15,history
147,0.2,history
148,0.15,history
149,0.2,history
150,0.2,history
151,0.25,history
152,0.3,history
153,0.25,history
154,0.3,history
155,0.35,history
156,0.3,history
157,0.35,history
158,0.35,history
159,0.35,history
160,0.4,history
161,0.45,history
162,0.5,history
163,0.5,history
164,0.5,history
165,0.55,history
166,0.5,history
167,0.5,history
168,0.55,history
169,0.5,history
170,0.45,history
171,0.45,history
172,0.4,history
173,0.4,history
174,0.35,history
175,0.3,history
176,0.35,history
177,0.25,history
178,0.25,history
179,0.25,history
180,0.2,history
181,0.2,history
182,0.2,history
183,0.2,history
184,0.25,history
185,0.2,history
186,0.2,history
187,0.15,history
188,0.1,history
189,0.15,history
190,0.15,history
191,0.15,history
192,0.1,history
193,0.15,history
194,0.15,history
195,0.2,history
196,0.2,history
197,0.25,history
198,0.25,history
199,0.25,history
200,0.3,history
201,0.3,history
202,0.3,history
203,0.3,history
204,0.25,history
205,0.2,history
206,0.2,history
207,0.2,history
208,0.2,history
209,0.15,history
210,0.2,history
211,0.1,history
212,0.15,history
213,0.05,history
214,0.0,history
215,0.0,history
216,-0.1,history
217,-0.05,history
218,0.0,history
219,0.0,history
220,0.0,history
221,0.0,history
222,0.0,history
223,0.0,history
224,0.05,history
225,0.05,history
226,0.0,history
227,0.0,history
228,-0.05,history
229,-0.05,history
230,-0.05,history
231,0.0,history
232,0.0,history
233,0.05,history
234,0.1,history
235,0.05,history
236,0.1,history
237,0.1,history
238,0.1,history
239,0.15,history
240,0.15,history
241,0.2,history
242,0.15,history
243,0.15,history
244,0.1,history
245,0.15,history
246,0.2,history
247,0.25,history
248,0.35,history
249,0.4,history
250,0.4,history
251,0.4,history
252,0.4,history
253,0.45,history
254,0.4,history
255,0.45,history
256,0.45,history
257,0.4,history
258,0.4,history
259,0.4,history
260,0.35,history
261,0.3,history
262,0.3,history
263,0.3,history
264,0.35,history
265,0.35,history
266,0.4,history
267,0.4,history
268,0.4,history
269,0.4,history
270,0.4,history
271,0.35,history
272,0.35,history
273,0.35,history
274,0.45,history
275,0.45,history
276,0.45,history
277,0.4,history
278,0.35,history
279,0.35,history
280,0.3,history
281,0.3,history
282,0.3,history
283,0.25,history
284,0.15,history
285,0.15,history
286,0.15,history
287,0.05,history
288,0.0,history
289,0.0,history
290,0.0,history
291,0.05,history
292,0.05,history
293,0.05,history
294,-0.05,history
295,-0.1,history
296,-0.05,history
297,0.0,history
298,0.0,history
299,-0.05,history
300,-0.05,history
301,-0.05,history
