keyword,url,user,comment_content,is_valid,keywords,sentiment
人工智能问诊,https://www.xiaohongshu.com/explore/68ceba79000000000b03f003,Go,不想出门懒得去医院的，可以用ai初步了解一下 09-21 2,True,"可尝试,方便,初步了解",positive
人工智能问诊,https://www.xiaohongshu.com/explore/68ceba79000000000b03f003,-_-,请教一下，是不是这些产品开发者都没有临床经验？,True,"质疑,担忧,不信任",negative
人工智能问诊,https://www.xiaohongshu.com/explore/68ceba79000000000b03f003,你就是特派员？,你说的有这些问题，根本不可能通过上线。什么录音还限定一分钟？ 09-29 1,True,"否定,质疑,不认可,不满,担忧",negative
人工智能问诊,https://www.xiaohongshu.com/explore/68ceba79000000000b03f003,Sumura🌼🌞,我们做了一篇和医生病人NHS IT和其他相关利益人员的定性分析研究，做ChatGPT解读医学报告的测试，问题实在太多了，自研模型也不是那么容易能应用而且大家愿意使用的,True,"问题多,应用难,难接受,担忧,质疑",negative
人工智能问诊,https://www.xiaohongshu.com/explore/68ceba79000000000b03f003,果然多-,很长一段时间，AI只给建议就行，别想着替代，在过程中积累数据，在考虑下一步才是,True,"谨慎,理性,观望,客观",neutral
人工智能问诊,https://www.xiaohongshu.com/explore/686c84ae0000000012021787,诈骗专家的猎犬,ai一般不准，毕竟ai技术还不是很成熟，但还是最好去医院看看 07-08 33,True,"不准,不成熟,不信任,担忧",negative
人工智能问诊,https://www.xiaohongshu.com/explore/68cd25a2000000001202f372,咪老师,GPT老师成功改善了我女儿的脱发 09-22 49,True,"认可,有效,改善,成功",positive
人工智能问诊,https://www.xiaohongshu.com/explore/68cd25a2000000001202f372,momo,我三年的长新冠终于被GPT找到了原因 09-22 3,True,"认可,有效,解决困扰,帮助",positive
人工智能问诊,https://www.xiaohongshu.com/explore/68cd25a2000000001202f372,momo 看剧版,博主能不能分享一下怎么训练的，怎么提问，怎么交流的,True,"请求,询问,学习,了解",neutral
人工智能问诊,https://www.xiaohongshu.com/explore/68cd25a2000000001202f372,0868587,说的没错，我通过dpseek不断提问，训练，最后基本从中医角度确诊了我的体质，这样后面大夫开的药就可通过dp分析对不对症了，吃错药太恐怖 09-23 41,True,"认可,实用,担忧,有效",positive
人工智能问诊,https://www.xiaohongshu.com/explore/68cd25a2000000001202f372,LAN,三甲医院的医生都很忙，拿到报告单挑重点就下一个了，把结果给GPT，准一分析，简直太神奇了，而且非常详细且专业，甚至还有安慰以及鼓励的一些话语，情绪价值拉满！Ai真的强大。。。。,True,"神奇,详细,专业,情绪价值拉满,强大,认可,安慰,鼓励",positive
人工智能问诊,https://www.xiaohongshu.com/explore/68cd25a2000000001202f372,吗喽吃芒狗,是的。。gpt刚刚帮我确诊了我被beg bug咬了。。不然是死活想不到的 09-23 19,True,"有帮助,认可,意外,有效",positive
人工智能问诊,https://www.xiaohongshu.com/explore/68cd25a2000000001202f372,买南北,我老公咳嗽大半年，医院做了CT，吃了好多药都不好。最后靠人工智能找到了病因，很快好了。,True,"认可,有效,高效,解决问题,改善体验",positive
人工智能问诊,https://www.xiaohongshu.com/explore/68cd25a2000000001202f372,慕容冰糕,是的，我从小到大都没有医生看出来的问题，我把体检报告发给GPT，它一眼就看出来了，再去检查验证，一点都没错。 09-21 54,True,"认可,准确,有效,信任",positive
人工智能问诊,https://www.xiaohongshu.com/explore/68cd25a2000000001202f372,Karen Meng,加拿大家庭医生和第一个皮肤专科一直判断我是湿疹 但Chatgpt说我是紫癜，结果转第二个专科果然确诊紫癜 09-23 3,True,"认可,准确,有效,正确,可靠",positive
人工智能问诊,https://www.xiaohongshu.com/explore/67a6e546000000001902df19,momo,把症状描述清楚，ds开的方不差 02-08 13,True,"认可,满意",positive
