keyword,url,user,comment_content
人工智能问诊,https://www.xiaohongshu.com/explore/6934318d000000001e00d18b,小红薯321E7460,这个怎么构建的呢？可以传授一下经验吗 1天前江苏 1
人工智能问诊,https://www.xiaohongshu.com/explore/6934318d000000001e00d18b,王金柱,关注求文档 1天前浙江 1
人工智能问诊,https://www.xiaohongshu.com/explore/6934318d000000001e00d18b,超厉害,求文档 1天前重庆 1
人工智能问诊,https://www.xiaohongshu.com/explore/6934318d000000001e00d18b,小米,已关，求文档 2天前上海 1
人工智能问诊,https://www.xiaohongshu.com/explore/6934318d000000001e00d18b,lyl,求文档
人工智能问诊,https://www.xiaohongshu.com/explore/6934318d000000001e00d18b,小红薯6866D9D0,已关，求文档
人工智能问诊,https://www.xiaohongshu.com/explore/68ceba79000000000b03f003,Go,不想出门懒得去医院的，可以用ai初步了解一下 09-21 2
人工智能问诊,https://www.xiaohongshu.com/explore/68ceba79000000000b03f003,-_-,请教一下，是不是这些产品开发者都没有临床经验？
人工智能问诊,https://www.xiaohongshu.com/explore/68ceba79000000000b03f003,你就是特派员？,你说的有这些问题，根本不可能通过上线。什么录音还限定一分钟？ 09-29 1
人工智能问诊,https://www.xiaohongshu.com/explore/68ceba79000000000b03f003,Sumura🌼🌞,我们做了一篇和医生病人NHS IT和其他相关利益人员的定性分析研究，做ChatGPT解读医学报告的测试，问题实在太多了，自研模型也不是那么容易能应用而且大家愿意使用的
人工智能问诊,https://www.xiaohongshu.com/explore/68ceba79000000000b03f003,peppa,病历质控还是用的多的，能够过程质控
人工智能问诊,https://www.xiaohongshu.com/explore/68ceba79000000000b03f003,果然多-,很长一段时间，AI只给建议就行，别想着替代，在过程中积累数据，在考虑下一步才是
人工智能问诊,https://www.xiaohongshu.com/explore/6923ba32000000000d036d5b,陆时,AQ的ui赢了，起码更好看一点
人工智能问诊,https://www.xiaohongshu.com/explore/6923ba32000000000d036d5b,古记小猫咪,这种场景不应该冲王小川吗ying.ai 11-24北京 1
